Epoch,Train Loss,Val Loss
1,5.481327037,4.897588592
2,5.168323393,4.868331667
3,5.146068793,4.848417539
4,5.122435351,4.820986995
5,5.094403466,4.797188126
6,5.0731846,4.783782023
7,5.062948309,4.776205655
8,5.05570038,4.768267546
9,5.048166856,4.761989774
10,5.042562748,4.75678265
11,5.036509488,4.750596168
12,5.030805882,4.745450896
13,5.026132897,4.742467471
14,5.021806545,4.737063906
15,5.01703415,4.732573652
16,5.014132399,4.729390023
17,5.011488265,4.727656549
18,5.007826396,4.724940257
19,5.005728354,4.725736886
20,5.004478069,4.721927419
21,5.001076299,4.720403187
22,4.999448751,4.719458249
23,4.99820026,4.71918508
24,4.996166455,4.71780463
25,4.995348496,4.717776825
26,4.993453111,4.715484546
27,4.991909218,4.716666826
28,4.991109465,4.713636894
29,4.989574717,4.715618617
30,4.988739716,4.713066445
31,4.987873167,4.715377008
32,4.988202828,4.71132038
33,4.985944155,4.711725636
34,4.98486417,4.711550228
35,4.984378274,4.710219813
36,4.983484239,4.709563724
37,4.982577207,4.71002259
38,4.982871273,4.70873151
39,4.979742922,4.709298977
40,4.98076289,4.709571436
41,4.979389174,4.709851791
42,4.978699532,4.708004557
43,4.977289749,4.708691327
44,4.977008246,4.707676136
45,4.976835561,4.707599873
46,4.974558391,4.707949441
47,4.974565913,4.708899278
48,4.973294372,4.707536431
49,4.973642808,4.710061099
50,4.973129128,4.706953651
51,4.972510919,4.707704339
52,4.970826602,4.707428363
53,4.970444193,4.706830243
54,4.969670395,4.706989342
55,4.968961493,4.708535098
56,4.968879502,4.707393133
57,4.969269802,4.707412339
58,4.968004864,4.707985396
59,4.965962174,4.707547486
60,4.966135472,4.710198862
61,4.965749487,4.708093869
62,4.965168586,4.70923684
63,4.966811869,4.709389453
64,4.96436668,4.709067848
65,4.963497653,4.7094213
66,4.963460644,4.710274228
67,4.963926782,4.713459055
68,4.962489154,4.710609205
69,4.963223919,4.712170598
70,4.961113822,4.710138931
71,4.96089083,4.709854018
72,4.961195522,4.711350753
73,4.959848711,4.712291235
74,4.959353378,4.711910116
75,4.959316136,4.712199106
76,4.959297216,4.712390146
77,4.959325052,4.712172943
78,4.958190149,4.714911469
79,4.957567762,4.713770789
80,4.956496511,4.713901843
81,4.955435112,4.715558797
82,4.955052899,4.715103899
83,4.955189387,4.716217023
84,4.955833224,4.714861296
85,4.956540233,4.715676705
86,4.954734276,4.716073272
87,4.954233984,4.716551618
88,4.953426226,4.720450832
89,4.952417924,4.719562772
90,4.953205642,4.72257476
91,4.953181669,4.720981563
92,4.952253335,4.719986723
93,4.951472057,4.723168198
94,4.951891556,4.722305387
95,4.951651237,4.722145989
96,4.950832453,4.725449834
97,4.951030252,4.721695881
98,4.950296518,4.724412165
99,4.949341782,4.725738729
100,4.951674085,4.727125029
101,4.951123992,4.722952452
102,4.949338004,4.724152254
103,4.949150538,4.726353277
104,4.949352113,4.727342288
105,4.948874398,4.728949578
106,4.947889596,4.728246982
107,4.947567503,4.729144433
108,4.946762583,4.729272904
109,4.947101441,4.730605162
110,4.947838513,4.738158426
111,4.947497289,4.728491173
112,4.946872919,4.738121817
113,4.946888771,4.732157675
114,4.946174333,4.7343199
115,4.94544281,4.733722947
116,4.945166672,4.736049217
117,4.946106766,4.738033127
118,4.945521065,4.734067916
119,4.944939642,4.736807127
120,4.944574188,4.737007427
121,4.944216224,4.741250093
122,4.945066659,4.741397016
123,4.945464732,4.742171595
124,4.944837245,4.737253083
125,4.944446541,4.744202281
126,4.944244166,4.743373567
127,4.943980028,4.740422171
128,4.943360741,4.745646069
129,4.943564512,4.747608093
130,4.942904243,4.743268168
131,4.943018631,4.749071869
132,4.942740554,4.745524774
133,4.943168517,4.750770287
134,4.941956566,4.74958489
135,4.941962838,4.748675215
136,4.942145256,4.748079009
137,4.942870789,4.75100485
138,4.942515066,4.749017992
139,4.942141134,4.755289241
140,4.942475191,4.757564939
141,4.941891265,4.754082882
142,4.941800753,4.7574766
143,4.941053452,4.757295586
144,4.941622082,4.761476764
145,4.942157576,4.764853815
146,4.941418023,4.762137993
147,4.94166964,4.763263363
148,4.941643482,4.764119182
149,4.94178357,4.757994798
150,4.941369604,4.763043242
151,4.940175018,4.760550498
152,4.940342707,4.763447615
153,4.941282655,4.761757069
154,4.942121602,4.758314805
155,4.940506294,4.7630698
156,4.940698473,4.774456351
157,4.940778969,4.762323852
158,4.941214191,4.767784913
159,4.940568015,4.763027659
160,4.940538739,4.768410833
161,4.940811113,4.769222836
162,4.940500225,4.765809058
163,4.941243978,4.764495129
164,4.940426283,4.770717019
165,4.940504743,4.768913209
166,4.939987539,4.770540553
167,4.939824246,4.769052237
168,4.939531995,4.771442988
169,4.939073849,4.772559364
170,4.938999341,4.777536859
171,4.939463691,4.781361205
172,4.940119343,4.785695847
173,4.940234285,4.782228643
174,4.939702362,4.784377202
175,4.939680114,4.778620694
176,4.939212965,4.783381806
177,4.939656228,4.779198308
178,4.939162578,4.783359397
179,4.938988298,4.781176443
180,4.939411185,4.789295219
181,4.939277767,4.785052569
182,4.939957866,4.786697022
183,4.93990704,4.778322416
184,4.939157909,4.785357905
185,4.939130577,4.779611219
186,4.938886135,4.779475762
187,4.939000276,4.787498621
188,4.938774806,4.788962561
189,4.939389468,4.786705378
190,4.939206842,4.79481759
191,4.939166651,4.792231392
192,4.939735437,4.782511383
193,4.939828261,4.781570464
194,4.939586565,4.779945644
195,4.939585948,4.787607096
196,4.939593907,4.795264578
197,4.939595884,4.797715556
198,4.939499765,4.783710815
199,4.93958223,4.788246098
200,4.939605112,4.783623739
201,4.939896473,4.782761564
202,4.940067484,4.788371819
203,4.939050506,4.796702454
204,4.939159553,4.791519827
205,4.938603383,4.790143725
206,4.93831386,4.787066205
207,4.93890193,4.796345846
208,4.938493204,4.789053555
209,4.938788489,4.784969237
210,4.938884139,4.784797834
211,4.938818585,4.786980769
212,4.938752284,4.79563953
213,4.938993977,4.787323934
214,4.938641901,4.792674726
215,4.938304106,4.790646607
216,4.938015463,4.78881385
217,4.938157363,4.79816367
218,4.938336366,4.799933898
219,4.938808256,4.795908991
220,4.938936415,4.791288219
221,4.938889242,4.794186231
222,4.939464244,4.796169962
223,4.938671909,4.799046528
224,4.938461079,4.803196406
225,4.938145755,4.794603373
226,4.938188053,4.801147902
227,4.937964378,4.806660691
228,4.937941356,4.798145129
229,4.938063518,4.804936264
230,4.937946559,4.802843443
231,4.938106256,4.800915187
232,4.938535794,4.805003304
233,4.938525271,4.793911889
234,4.940962152,4.804531112
235,4.947937089,4.779357829
236,4.943877752,4.772932817
237,4.940069165,4.778950678
238,4.938556631,4.793924639
239,4.938396476,4.785305196
240,4.938002555,4.790103045
241,4.938111157,4.789980128
242,4.938131051,4.791688563
243,4.938089751,4.790782122
244,4.937695749,4.798590232
245,4.937733726,4.797052398
246,4.937619441,4.805940969
247,4.937613556,4.802563023
248,4.937728782,4.805092631
249,4.937833799,4.802646912
250,4.938066597,4.800515328
251,4.937936614,4.802494415
252,4.937994708,4.803474348
253,4.937863348,4.805588261
254,4.937492965,4.805198175
255,4.937542923,4.809431334
256,4.937796721,4.808000676
